catt,Level,Time,ATT,MSPE,keyword,start_date,end_date,treatment,verification_method,force,estimator,path,rn
39.263862461271245,Average,3,9.815965615317811,23.20870126456832,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,unit,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_unit_estimator_ife.rds,87
23.91865366400756,Average,1,11.95932683200378,67.71921896926769,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,unit,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_unit_estimator_mc.rds,88
33.8616129827481,Average,3,8.465403245687025,67.71921896926769,porn,2019-01-01,2024-10-31,post_treat,any_reasonable_method,unit,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_any_reasonable_method_force_unit_estimator_mc.rds,88
24.94225787889766,Average,1,12.47112893944883,31.69327124110054,porn,2019-01-01,2024-10-31,post_treat,database_id,none,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_none_estimator_ife.rds,89
37.554855305062674,Average,3,9.388713826265668,31.69327124110054,porn,2019-01-01,2024-10-31,post_treat,database_id,none,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_none_estimator_ife.rds,89
21.724149487111983,Average,1,10.862074743555992,85.21102328707323,porn,2019-01-01,2024-10-31,post_treat,database_id,none,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_none_estimator_mc.rds,90
33.04264184960297,Average,3,8.260660462400743,85.21102328707323,porn,2019-01-01,2024-10-31,post_treat,database_id,none,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_none_estimator_mc.rds,90
23.190698810974546,Average,1,11.595349405487273,33.603727128698246,porn,2019-01-01,2024-10-31,post_treat,database_id,time,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_time_estimator_ife.rds,91
34.42677460492879,Average,3,8.606693651232197,33.603727128698246,porn,2019-01-01,2024-10-31,post_treat,database_id,time,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_time_estimator_ife.rds,91
19.727098948580664,Average,1,9.863549474290332,91.95081698259676,porn,2019-01-01,2024-10-31,post_treat,database_id,time,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_time_estimator_mc.rds,92
30.907284905901584,Average,3,7.726821226475396,91.95081698259676,porn,2019-01-01,2024-10-31,post_treat,database_id,time,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_time_estimator_mc.rds,92
22.912703177008584,Average,1,11.456351588504292,34.354200014126675,porn,2019-01-01,2024-10-31,post_treat,database_id,two-way,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_two-way_estimator_ife.rds,93
33.97663605811094,Average,3,8.494159014527735,34.354200014126675,porn,2019-01-01,2024-10-31,post_treat,database_id,two-way,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_two-way_estimator_ife.rds,93
20.19170509374297,Average,1,10.095852546871486,67.5878738241148,porn,2019-01-01,2024-10-31,post_treat,database_id,two-way,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_two-way_estimator_mc.rds,94
30.63396613325575,Average,3,7.658491533313938,67.5878738241148,porn,2019-01-01,2024-10-31,post_treat,database_id,two-way,mc,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_two-way_estimator_mc.rds,94
24.29804698874063,Average,1,12.149023494370317,32.60109753209798,porn,2019-01-01,2024-10-31,post_treat,database_id,unit,ife,C:/Users/dnlan/Desktop/coding_projects/synth/internet_regulation_synth_project/gsynth_output/porn_2019-01-01_2024-10-31_treatment_post_treat_verification_database_id_force_unit_estimator_ife.rds,95
